DATE_COL,SITE_ID,LATITUDE,LONGITUDE,SPRAYED,SPONGY_EGGS,SPONGY_LARVAE,SPONGY_ADULTS,PH,CONDUCTIVITY_μS,TEMPERATURE_C,DEPTH_CM,LENGTH_M,WIDTH_M,PCT_CANOPY_COVER
05/23/2023,MSHN_3,40.94993,-78.002096,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,48.52
05/24/2023,BDEG_1,40.799645,-77.512437,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,87
05/24/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,4.81,24.3,17.9,25.5,21.89,11.04,94.54
05/24/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,4.79,56.1,15.9,7,5.76,3.39,65.68
05/30/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,46.7
05/30/2023,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,44.1
05/31/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,7.25,32.5,27,8,11.66,6.33,59.18
05/31/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,7.13,79,18.6,16,6.25,7.68,81.02
05/31/2023,MSHN_3,40.94993,-78.002096,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,57.88
06/01/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,92.72
06/01/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,5.32,202,18.6,27,17.68,11.15,96.1
06/01/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,71.14
06/05/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,53.2
06/05/2023,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,43.84
06/06/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,44.36
06/06/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,82.84
06/06/2023,MSHN_3,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,55.28
06/07/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,88.56
06/07/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,97.4
06/07/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,82.32
06/13/23,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,41.76
06/13/23,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,37.08
06/14/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,50.6
06/14/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,77.9
06/14/2023,MSHN_3,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,67.24
06/15/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,94.28
06/15/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,99.48
06/15/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,84.92
06/20/23,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,74
06/20/23,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,50.34
06/22/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,58.4
06/22/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
06/22/2023,MSHN_3,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,74
06/23/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,94.28
06/23/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,5.09,42.3,15.5,15,17,12,99.22
06/23/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,82.32
06/26/23,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,5.77,25.7,21.2,20.5,19.89,16.46,44.62
06/26/23,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,4.7,25.5,20.2,19,25.42,25.1,31.62
06/27/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,7.15,20.9,19.3,12.5,15.16,8.08,44.36
06/27/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
06/27/2023,MSHN_3,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,63.6
06/28/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,94.28
06/28/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,5.57,53.8,17.1,18,13.43,8.79,98.44
06/28/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,79.82
07/03/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,5.85,50.2,20.3,16,19.36,15.65,65.68
07/03/2023,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,4.82,45.8,19.9,25,27.48,25.32,65.69
07/05/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,6.12,19.6,22.8,8,15.62,8.16,62.04
07/05/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,6.8,160,20.6,25,18.87,19.75,88.04
07/05/2023,MSHN_3,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,66.72
07/06/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,86.48
07/06/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,TRUE,5.41,140,22.1,31,17.08,10.78,98.96
07/06/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,79.72
07/10/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,5.69,58.7,19.7,10,24.42,17.77,70.88
07/10/2023,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,4.71,16.8,18.8,26,26.38,24.27,64.38
7/11/2023,MSHN_1,40.845951,-78.097878,FALSE,TRUE,TRUE,FALSE,6.89,35.4,20,8,15.05,7.65,82.58
7/11/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,7.07,132.3,18.5,19,16.9,13.7,90.9
7/11/2023,MSHN_3,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,72.96
07/12/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,94.28
07/12/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,TRUE,5.22,27.4,20.9,17,19.16,13.08,99.22
07/12/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,78.94
,,,,,,,,,,,,,,
