SITE_ID,TARGET_TAXON,TOTAL
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Chironomini,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_2,Gerris,1
MSHN_2,Acilius,1
MSHN_2,Ranatra,1
MSHN_2,Dytiscus,1
MSHN_2,Dytiscus,1
MSHN_2,Hydroporinae,1
MSHN_2,Lesteva,1
MSHN_2,Lesteva,1
MSHN_2,Neoporus,1
MSHN_2,Enochrus,1
MSHN_2,Acilius,1
MSHN_2,Neoporus,1
MSHN_2,Laccophilus,1
MSHN_2,Boyeria,1
MSHN_2,Aeshna,1
MSHN_2,Aeshna,1
MSHN_2,Aeshna,1
MSHN_2,Enochrus,1
MSHN_2,Enochrus,1
MSHN_2,Enochrus,1
MSHN_2,Culex,1
MSHN_2,Culex,1
MSHN_2,Culex,1
MSHN_2,Culex,1
MSHN_2,Gerris,1
MSHN_2,Gerris,1
MSHN_2,Hydroporus,1
MSHN_2,Limnephilus,1
MSHN_2,Hydroporinae,1
MSHN_2,Limnephiloidea,1
MSHN_2,Limnephilus,1
MSHN_2,Limnephilus,1
MSHN_2,Limnephilus,1
MSHN_2,Limnephilus,1
MSHN_2,Limnephilus,1
MSHN_2,Limnephiloidea,1
MSHN_2,Oligochaeta,53
MSHN_2,Oligochaeta,48
MSHN_2,Oligochaeta,22
MSHN_2,Aeshna,1
MSHN_2,Hydroporus,1
MSHN_2,Hydroporus,1
MSHN_2,Hydroporus,1
MSHN_2,Neoporus,1
MSHN_2,Tanypodinae,1
MSHN_2,Tanypodinae,1
MSHN_2,Chironomini,1
MSHN_3,Limnephilus,1
MSHN_3,Aedes,1
MSHN_3,Chaoboridae,1
MSHN_3,Aedes,1
MSHN_3,Aedes,1
MSHN_3,Aedes,1
MSHN_3,Aedes,1
MSHN_3,Aedes,1
MSHN_3,Aedes,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephilus,1
MSHN_3,Culex,1
MSHN_3,Aedes,1
MSHN_3,Aedes,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephilus,1
MSHN_3,Limnephiloidea,1
MSHN_3,Limnephiloidea,1
MSHN_3,Oligochaeta,26
MSHN_3,Oligochaeta,10
MSHN_3,Chironomini,1
MSHN_3,Orthocladinae,1
MSHN_3,Chironomini,1
MSHN_3,Tanypodinae,1
MSHN_3,Tanypodinae,1
MSHN_3,Tanypodinae,1
MSHN_3,Chironomini,1
SPRL_1,Oligochaeta,3
SPRL_1,Hirudinea,3
SPRL_1,Aedes,1
SPRL_1,Aedes,1
SPRL_1,Enochrus,1
SPRL_1,Liodessus,1
SPRL_1,Liodessus,1
SPRL_1,Liodessus,1
SPRL_1,Liodessus,1
SPRL_1,Liodessus,1
SPRL_1,Enochrus,1
SPRL_1,Lesteva,1
SPRL_1,Limnephiloidea,1
SPRL_1,Enochrus,1
SPRL_1,Enochrus,1
SPRL_1,Liodessus,1
SPRL_1,Liodessus,1
SPRL_1,Coptotomus,1
SPRL_1,Lesteva,1
SPRL_1,Lesteva,1
SPRL_1,Lesteva,1
SPRL_3,Corydalidae,1
SPRL_3,Corydalidae,1
SPRL_3,Aeshna,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Enochrus,1
SPRL_3,Enochrus,1
SPRL_3,Enochrus,1
SPRL_3,Enochrus,1
SPRL_3,Liodessus,1
SPRL_3,Enochrus,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Sminthurus,1
SPRL_3,Sminthurus,1
SPRL_3,Chauliodes,1
SPRL_3,Enochrus,1
SPRL_3,Ceratopogoninae,1
SPRL_3,Ceratopogoninae,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Liodessus,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Aedes,1
SPRL_3,Neoporus,1
SPRL_3,Neoporus,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Orthocladinae,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
SPRL_3,Chironomini,1
