SITE_ID,WET_OR_DRY,PH,CONDUCTIVITY_uS,TEMPERATURE_C,DEPTH_CM,LENGTH_M,WIDTH_M,PCT_CANOPY_COVER,TOC_mg_L,TN_mg_L,DOC_mg_L,TDN_mg_L,CHLORIDE_mg_L,NITRATE_mg_L,SULFATE_mg_L,PHOSPHATE_mg_L,FRASS_g,LEAF_LITTER_g,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,48.52,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.76,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,57.88,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2.4,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,55.28,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.56,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,67.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,66.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MSHN_3,DRY,NA,NA,NA,NA,NA,NA,72.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_1,WET,5.72,66.3,22.1,45,24.3,21.2,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_1,WET,5.5,135,17.2,38,20.3,20.05,52.16,11.4,0.8316,11.62,0.5255,22.2511,0.0998,2.7143,NA,0.01,0.75,,,
SPRL_1,WET,7.28,272,21,10,15.02,12.66,49.565,17.44,6.82,15.8,0.4957,27.6544,0.1435,1.7612,0.1184,0.01,0.04,,,
SPRL_1,DRY,NA,NA,NA,NA,NA,NA,46.7,NA,NA,NA,NA,NA,NA,NA,NA,0.08,2.4,,,
SPRL_1,DRY,NA,NA,NA,NA,NA,NA,53.2,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1.21,,,
SPRL_1,DRY,NA,NA,NA,NA,NA,NA,41.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_1,DRY,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_1,WET,5.77,25.7,21.2,20.5,19.89,16.46,44.62,11.49,1.073,11.99,0.8568,3.765,0.1275,1.9849,0.3342,NA,NA,,,
SPRL_1,WET,5.85,50.2,20.3,16,19.36,15.65,65.68,11.94,11.94,12.66,0.819,5.1157,0.1012,1.3526,0.3234,NA,NA,,,
SPRL_1,WET,5.69,58.7,19.7,10,24.42,17.77,70.88,8.589,8.589,8.709,0.5721,2.2034,0.1204,0.6837,0.2736,NA,NA,,,
SPRL_3,WET,4.82,41.7,18.3,20,11.56,24.1,32.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_3,WET,4.67,16.2,15.2,17,21.58,20.84,44.88,10.18,0.784,10.7,0.6853,3.2437,0.1672,0.7845,0.1163,0.01,0.45,,,
SPRL_3,WET,4.68,44.4,15.6,10,17.05,14.92,30.32,6.865,0.2993,7.591,0.3239,0.8702,0.1246,1.2044,0.0981,0.01,0.64,,,
SPRL_3,DRY,NA,NA,NA,NA,NA,NA,44.1,NA,NA,NA,NA,NA,NA,NA,NA,0.24,2.29,,,
SPRL_3,DRY,NA,NA,NA,NA,NA,NA,43.84,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1.09,,,
SPRL_3,DRY,NA,NA,NA,NA,NA,NA,37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_3,DRY,NA,NA,NA,NA,NA,NA,50.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPRL_3,WET,4.7,25.5,20.2,19,25.42,25.1,31.62,10.51,0.4579,11.2,0.3543,1.4311,0.1493,3.0621,0.1873,NA,NA,,,
SPRL_3,WET,4.82,45.8,19.9,25,27.48,25.32,65.69,9.431,9.431,9.963,0.4675,1.359,0.1218,1.2081,NA,NA,NA,,,
SPRL_3,WET,4.71,16.8,18.8,26,26.38,24.27,64.38,6.262,6.262,6.571,0.2877,1.4969,0.1303,0.8529,NA,NA,NA,,,
